rms,centroid,bandwidth,zcr,flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.006138554,1549.2921985701237,3353.7679305653173,0.024944230621936275,0.0003397965,-612.6924,178.79416,64.237114,-1.2008619,3.4942195,-5.221701,-6.209586,8.391161,-13.936078,1.5284524,-19.861204,-12.198123,-17.959095,clean
0.005383548,2035.5008474454073,3960.6340322545525,0.026535138453872436,0.00052324095,-622.63367,152.52249,49.149746,6.4577236,21.089344,5.7030616,-9.6159725,0.53720343,-19.997189,-0.70642453,-15.231299,-12.302783,-18.959251,clean
0.0042749564,3316.3818882411574,4777.426300376535,0.0586139896373057,0.0015709224,-614.48883,116.51482,23.638325,3.185738,2.836608,1.2527641,7.883053,19.983215,-5.6483006,-10.50376,-26.368536,4.7368126,-5.103062,clean
0.010172033,1308.4093940215391,2937.522893867722,0.022072074339561855,0.000101590624,-572.28613,173.72604,68.404884,0.72819597,-10.038357,-6.980094,-8.909389,-16.927301,-23.052488,-19.419432,-18.104633,-12.731317,-10.160114,clean
0.0035052474,2859.5687012822345,4618.711872768726,0.04703243073047859,0.0018668204,-626.6054,145.59811,42.006203,-7.1888275,0.6592935,-2.6925561,-11.08321,14.255439,-6.952966,3.500102,-24.80175,-8.506911,-13.4196,clean
0.008694352,1062.3920364893168,2849.6154062380583,0.017025932591623036,9.657423e-05,-616.42566,182.73872,92.370804,29.205523,24.711014,5.3246145,-3.2272987,4.9694624,-19.986488,-6.809488,-24.807383,-15.616086,-20.087366,clean
0.09422673,1348.3202697487523,1441.3334786196494,0.03863064236111111,0.0017086213,-334.32983,173.32317,-21.08626,-25.88027,8.010975,-14.793365,-26.117666,-16.214455,-13.078688,-7.56677,2.5778584,6.3531017,5.2552204,clean
0.026719771,695.1439257213534,1064.8118976646278,0.026277621116863905,1.702274e-05,-500.23898,254.58124,36.72249,-22.349075,25.987427,23.31459,-15.602738,-12.190809,6.773748,-0.4278867,-7.396159,1.6122662,3.7634518,clean
0.13869913,520.2790030450648,984.1424528121211,0.015235632092649052,0.0011888522,-337.86868,256.5503,53.1602,-7.102324,30.61876,22.589952,-14.80943,-8.857698,9.864834,-1.3481946,-11.395672,-0.37141454,3.2953572,clean
0.051870827,959.095079576634,2047.0868835347833,0.017374909682080924,0.0017791124,-459.39505,190.51291,70.59576,37.761158,8.358595,15.017889,2.189027,10.086988,-2.563327,-7.0772014,-17.429634,-9.902464,-8.400615,clean
0.05082749,984.4599863801726,1875.7864623649739,0.021008943256578948,0.027723726,-432.96118,193.04823,43.40453,31.04023,12.487866,9.147295,-5.1132536,-7.4259887,-26.326239,-20.493452,-16.440487,-10.582835,-15.070182,clean
0.003668592,1655.8965869378724,2144.944641775904,0.04835425036222339,0.00012916964,-678.9665,149.52216,-35.882877,-4.7499323,21.307072,-1.2658156,-7.7391715,-2.7157366,-1.596307,-11.35905,-4.660133,8.242781,3.583723,clean
0.03517899,694.3926974933328,1731.4695096916107,0.011505126953125,4.8349433e-05,-483.9241,134.82494,65.28592,43.812862,22.771126,3.7055812,1.1923101,-0.23400949,-4.8251605,-6.5880065,-3.3488064,0.5225009,1.6473602,clean
0.07934684,1868.6323221011337,1518.761790154526,0.057196600224005516,0.04536033,-423.13165,165.96936,49.615166,-11.197681,1.9246149,21.87767,6.779367,-18.061056,-20.155909,-7.3416924,-3.698064,-11.931501,-16.632868,clean
0.057055846,1076.686129020462,1944.8197247077503,0.02367938006365741,0.027560357,-440.8136,194.03458,55.712746,33.289764,13.972552,10.885731,-4.588673,-4.5335684,-14.102953,-9.665733,-13.882965,-12.97712,-8.690782,clean
0.16653967,707.6309954735885,1128.2482826465168,0.019586795221560847,1.0924393e-05,-307.4234,199.40816,21.95591,-11.668209,23.364046,25.402555,7.072816,-4.2096286,-13.670777,-20.402758,-11.620073,-1.1794885,-2.2257917,clean
0.018918008,807.2984885693396,1419.5255712571336,0.02200680598159509,3.8661077e-05,-482.92514,189.08781,40.14528,-10.324036,12.675875,18.318758,0.42831552,-8.184825,-5.2633147,-4.2622705,-6.930288,-7.3116446,-4.397774,clean
0.13682891,664.1950067553918,1257.4859436521733,0.01634814673213136,4.43012e-05,-336.94135,174.05151,58.012405,19.82868,10.812909,4.1474824,-3.6767972,-7.8544393,-11.659514,-10.467784,-6.2778397,-4.687994,-4.918423,clean
0.0844916,1305.5196325386548,2026.193111746313,0.02651951707980653,0.00012809309,-295.0043,171.88905,-5.535441,25.808348,26.309671,23.430197,5.075389,10.744666,-6.563718,-11.47764,-7.3261213,-9.926407,-11.498564,clean
0.14146607,696.5839266772377,1156.462044720978,0.017588081089317375,8.3824605e-05,-308.96033,176.75171,54.499905,16.127453,7.870718,2.9799528,-2.8628547,-4.950631,-8.54162,-7.229289,-5.2937098,-7.207896,-5.78125,clean
0.08983796,1435.609441880623,1231.5853822520303,0.04935539205660995,0.00025572182,-257.35712,227.64749,-62.077244,-12.247648,13.352087,-29.332067,-9.286546,-7.313631,-14.504465,0.9580003,-4.785047,-11.584915,-5.528948,clean
0.02529749,4065.0655766533528,3969.879549905179,0.07438605679702048,0.0017315529,-392.95093,89.5852,-44.658054,12.34837,-41.570175,-0.5237121,-23.075722,10.751602,-0.97843814,13.002823,-3.9763038,1.2248012,-3.6659355,clean
0.09745958,1537.5828785128242,1432.535205930661,0.03901782478253866,0.09340821,-441.33643,89.372314,-10.690283,-12.32068,6.2965517,-11.3749695,-20.229925,-9.182896,0.057824045,4.6157527,7.557477,12.33073,17.336,clean
0.09304311,1243.1730156604588,1977.8549807169384,0.03687843765363815,0.0028550471,-410.16953,185.16704,47.393406,-0.016758561,10.876864,5.002962,-9.262863,-7.2979703,-2.0377173,-9.306788,-19.22449,-15.726257,-4.1639743,clean
0.102616385,1273.3134470322236,1940.736939877005,0.038557453728540775,0.0031100065,-397.8658,195.0405,46.05442,-3.0309231,11.226399,5.769285,-9.717515,-7.374021,-1.3043495,-9.125717,-19.938011,-16.125046,-3.8509102,clean
0.12587725,987.1748434872791,801.668670974422,0.041645973410757944,9.770416e-07,-323.79562,221.06192,11.615666,-48.118256,0.6056192,18.196253,-4.0763807,-20.132502,-25.238138,-23.243496,-14.321094,-8.675225,-8.881349,clean
0.09022742,1913.5505554697666,2218.7644009757605,0.048566182454427086,0.00039182263,-345.3794,159.1573,-45.399944,32.045628,27.07232,-21.543322,-3.6452045,-6.197062,-24.188131,-18.635956,-9.735724,-10.192929,-1.9197035,clean
0.11879557,1669.0468141859535,2091.9935736320917,0.03885650634765625,0.00022670912,-323.4424,166.00682,-39.40103,32.94147,25.831566,-24.0141,-4.15171,-0.70883375,-18.951187,-15.86736,-10.780599,-15.304035,-5.870174,clean
0.040353168,1466.4707013899106,1479.9246042667105,0.047873054934663,0.00012225966,-376.3655,198.02599,-34.502,-15.093542,40.509506,1.152338,-18.588003,-1.2908639,-8.144604,-18.698437,-6.2821956,-0.19873677,-3.5601122,clean
0.110447206,1720.5905786066633,2162.5638898173743,0.042566935221354164,0.00026766348,-320.57907,159.99709,-34.29855,29.643717,27.554762,-19.438828,-3.1688616,-0.7779375,-16.863066,-15.025027,-8.929325,-12.699704,-7.691919,clean
0.07287981,572.0219876018386,1527.3597445427256,0.009338565558103976,2.5898466e-05,-442.07895,169.98361,44.608448,28.086882,29.898716,14.290366,15.652387,21.015768,17.128769,9.70505,6.9668164,8.447549,5.6500406,clean
0.06676075,1085.2439836852866,1183.8242654982314,0.030107060185185185,0.0010775735,-377.28284,194.1584,-18.520432,-20.858685,14.490998,-22.922485,-35.02721,-10.229729,-13.135772,-24.105164,-9.81343,-1.6964971,-13.268572,clean
0.049323987,954.8964682961904,1117.655018208107,0.028851694405361374,8.407141e-06,-377.97827,244.90703,-37.29203,3.8977914,59.628464,-8.395327,-17.546364,7.70243,-12.043457,-15.567301,1.4163305,-5.6557503,-14.491492,clean
0.13881028,1708.451718155112,1413.0095942987139,0.059763952363306984,6.163537e-06,-219.54327,238.00163,-92.823494,20.732813,43.616394,-32.680046,-10.637439,-10.756778,-18.812712,-0.70556957,-9.393972,-18.2973,-12.111453,clean
0.08839596,1712.5309608691878,2236.404675963184,0.036649068196614586,0.00059404894,-361.20004,157.00984,-27.382742,33.24085,37.047573,-19.474928,-4.6380343,-0.40501657,-22.939325,-18.035212,-11.519439,-11.583579,-1.066682,clean
0.06400203,2070.645445034285,2408.2561458525456,0.05599822274881516,0.02196749,-470.8002,102.11447,12.523736,-1.8257567,4.815077,-4.707754,-11.740915,-12.247072,-13.00619,-13.731535,-11.61661,-6.4010096,-3.6628537,clean
0.08461677,739.6885345547252,1466.5026566596432,0.013303672239219114,0.00035899595,-411.699,181.97064,64.17203,23.134228,14.849508,10.905769,7.300343,-0.6761237,-6.744936,-8.413017,-4.7062907,-0.09918682,0.31108105,clean
0.11581436,1910.114798709431,1937.1045677825,0.0721763124247894,0.0007943447,-248.6948,199.3702,-64.43907,-15.9031925,33.038433,8.09573,-28.368095,-8.329135,-6.3480062,-9.338555,-14.423769,-15.667538,-13.405902,clean
0.06827673,1852.877154384764,2145.6162868532842,0.056062291880122954,0.014479336,-430.93698,110.525375,-5.9127617,-14.340296,6.8936014,-7.7350583,-25.331377,-24.686075,-24.058365,-21.108574,-12.389348,-2.8583379,4.319374,clean
